y,ds
0.7713128502311047,2016-01-01
0.6022309869855231,2016-01-04
0.5808648748312133,2016-01-05
0.6490777403633466,2016-01-06
0.6050090533882663,2016-01-07
0.6188003494298251,2016-01-08
0.6425450489730479,2016-01-11
0.6652026583059497,2016-01-12
0.586250031801708,2016-01-13
0.6379201282740271,2016-01-14
0.6645097252096527,2016-01-15
0.7382455220344862,2016-01-18
0.623744428174269,2016-01-19
0.6333762235054278,2016-01-20
0.6060670910609289,2016-01-21
0.5757224763564823,2016-01-22
0.5609538389367525,2016-01-25
0.6330411256136027,2016-01-26
0.6371397158014301,2016-01-27
0.6691388309342207,2016-01-28
0.6179538013771156,2016-01-29
0.5999881907032718,2016-02-01
0.6284160645989763,2016-02-02
0.6022601836736625,2016-02-03
0.6130455935138135,2016-02-05
0.5778440243354418,2016-02-08
0.6160138724115249,2016-02-09
0.5834071832764279,2016-02-10
0.6776544468881455,2016-02-11
0.6024114153730115,2016-02-12
0.6151631792796161,2016-02-15
0.6358035297063461,2016-02-16
0.6108642306551278,2016-02-17
0.6119145784423626,2016-02-18
0.5798875829333929,2016-02-19
0.5856672764690314,2016-02-22
0.583811273315753,2016-02-23
0.6000321585176399,2016-02-24
0.5853180557306658,2016-02-25
0.6021547064449669,2016-02-26
0.5999205684221748,2016-02-29
0.5371942692764253,2016-03-01
0.6680835292484577,2016-03-02
0.6534744918450259,2016-03-03
0.5581113609994035,2016-03-04
0.6219965987991095,2016-03-07
0.6106465498025078,2016-03-08
0.43396686105195864,2016-03-09
0.5912735416622682,2016-03-10
0.6068623053223646,2016-03-11
0.5440256771261154,2016-03-14
0.4746252100481514,2016-03-15
0.49336875697812865,2016-03-16
0.5157005765042675,2016-03-17
0.5536324380325609,2016-03-18
0.6314678671711556,2016-03-21
0.6732085260139371,2016-03-22
0.6439429913385525,2016-03-23
0.6815017815540084,2016-03-24
0.6439982813929198,2016-03-25
0.6830505038574897,2016-03-28
0.6422398123845056,2016-03-29
0.6869180298057499,2016-03-30
0.6731638448784228,2016-03-31
0.633801487832533,2016-04-01
0.6584162549084718,2016-04-04
0.705184771165406,2016-04-05
0.6286151750336695,2016-04-06
0.6635235176039991,2016-04-07
0.701143992571904,2016-04-08
0.6901426368251491,2016-04-11
0.6438434877953015,2016-04-12
0.6640723104312988,2016-04-13
0.6853340946745415,2016-04-14
0.6646037726572426,2016-04-15
0.6429727807459085,2016-04-18
0.7109670164946486,2016-04-19
0.6630679056313155,2016-04-20
0.6552275975830829,2016-04-21
0.6862708873864074,2016-04-22
0.7110280252104562,2016-04-25
0.6861966204208919,2016-04-26
0.6368245038389417,2016-04-27
0.6955215570990841,2016-04-28
0.7062619493605323,2016-04-29
0.6057147379978762,2016-05-02
0.6702638997369924,2016-05-03
0.6985909628692061,2016-05-04
0.6473443546407629,2016-05-05
0.6639243095788668,2016-05-06
0.6645860027753578,2016-05-09
0.7461710209781713,2016-05-10
0.711708487770106,2016-05-11
0.668902610237948,2016-05-12
0.6611790495013861,2016-05-13
0.6957034646428224,2016-05-16
0.66351212061412,2016-05-17
0.6973628130069535,2016-05-18
0.6653268936981261,2016-05-19
0.6760213073137831,2016-05-20
0.7082164021103354,2016-05-23
0.6941246566821656,2016-05-24
0.6762012997217757,2016-05-25
0.6334856916933154,2016-05-26
0.6873331844686894,2016-05-27
0.7711104550565635,2016-05-30
0.633224892552483,2016-05-31
0.6718893571478399,2016-06-01
0.6821399332723839,2016-06-02
0.6073270859102835,2016-06-03
0.6636941564665843,2016-06-06
0.6941502489653597,2016-06-07
0.6227828048100281,2016-06-08
0.7082643868997448,2016-06-09
0.6937387310897858,2016-06-10
0.6394492497453615,2016-06-13
0.7211690270144936,2016-06-14
0.7212053994394957,2016-06-15
0.703840594146083,2016-06-16
0.707708550891827,2016-06-17
0.6537076452401175,2016-06-20
0.7196366499233586,2016-06-21
0.6740616989407586,2016-06-22
0.6583689566261552,2016-06-23
0.6877566150161036,2016-06-24
0.6765635468278515,2016-06-27
0.6623710214669319,2016-06-28
0.6971937406185884,2016-06-29
0.7283911551094078,2016-06-30
0.7525345877328831,2016-07-01
0.7946051705240869,2016-07-04
0.7355954836251037,2016-07-05
0.7476818758269833,2016-07-06
0.7722816757140772,2016-07-07
0.692322312824659,2016-07-08
0.7037001951540705,2016-07-11
0.6938846136955117,2016-07-12
0.724585777627741,2016-07-13
0.6913994883802462,2016-07-14
0.7068872892685948,2016-07-15
0.7614464486740831,2016-07-18
0.708106962486058,2016-07-19
0.7620232114708438,2016-07-20
0.745517720750849,2016-07-21
0.6951930075051982,2016-07-22
0.7158558234122401,2016-07-25
0.7133536878907076,2016-07-26
0.6656829973871713,2016-07-27
0.6591750890682426,2016-07-28
0.7669573962680256,2016-07-29
0.7101588662600665,2016-08-01
0.736220500975442,2016-08-02
0.7032797403384328,2016-08-03
0.7051428790300834,2016-08-04
0.7024375943147534,2016-08-05
0.7153109165175877,2016-08-08
0.6962981198009632,2016-08-09
0.6808880930335489,2016-08-10
0.6722261170036519,2016-08-11
0.7031912558013509,2016-08-12
0.6785754099427508,2016-08-15
0.6815556541997536,2016-08-16
0.6742140661356184,2016-08-17
0.6712928137659682,2016-08-18
0.7116163027499994,2016-08-19
0.762234518392485,2016-08-22
0.7117960026036599,2016-08-23
0.7536926925639289,2016-08-24
0.6922198630459792,2016-08-25
0.7060726571287445,2016-08-26
0.7265216228083864,2016-08-29
0.7575750247725986,2016-08-30
0.77141047735309,2016-08-31
0.7348490921920019,2016-09-01
0.679233958978843,2016-09-02
0.825322215293965,2016-09-05
0.717236726855166,2016-09-06
0.753388293830228,2016-09-07
0.6920772257843613,2016-09-08
0.7245938459811422,2016-09-09
0.6745171599870843,2016-09-12
0.7626595480385997,2016-09-13
0.6809568999421293,2016-09-14
0.7510894591845334,2016-09-15
0.7412643543203559,2016-09-19
0.7253012683623487,2016-09-20
0.7351039328216139,2016-09-21
0.6333444633051352,2016-09-22
