y,ds
0.7612447582904477,2016-01-01
0.7214253602911679,2016-01-02
0.7579665408567373,2016-01-03
0.6879745782342442,2016-01-04
0.6614625604941675,2016-01-05
0.6543437544649198,2016-01-06
0.7147860426106089,2016-01-07
0.6881866216464743,2016-01-08
0.7419724263898946,2016-01-09
0.7540652005057012,2016-01-10
0.7139012580044268,2016-01-11
0.6681842042837903,2016-01-12
0.7144947713090388,2016-01-13
0.73043007864929,2016-01-14
0.6982041117125585,2016-01-15
0.764465623373161,2016-01-16
0.7575165773966308,2016-01-17
0.7408766336221319,2016-01-18
0.7015721557791639,2016-01-19
0.7112574936178991,2016-01-20
0.6794893172697165,2016-01-21
0.6590613103419273,2016-01-22
0.7031430430752814,2016-01-23
0.7319515446082404,2016-01-24
0.7007575895687292,2016-01-25
0.6620863918710987,2016-01-26
0.6943414217295585,2016-01-27
0.6916611829264212,2016-01-28
0.6667035273834729,2016-01-29
0.7831200478503927,2016-01-30
0.761034022139191,2016-01-31
0.7042680399175869,2016-02-01
0.694154259316443,2016-02-02
0.6769049570565179,2016-02-03
0.6922755309238043,2016-02-05
0.7291573162347184,2016-02-06
0.7401068619038484,2016-02-07
0.6692464474757286,2016-02-08
0.6982940247055799,2016-02-09
0.6727238155213916,2016-02-10
0.7296390590271271,2016-02-11
0.7013461125445338,2016-02-12
0.6921337287718854,2016-02-13
0.6759811423390752,2016-02-14
0.7025283018488864,2016-02-15
0.6465287369857594,2016-02-16
0.6510340247203988,2016-02-17
0.6523934362411452,2016-02-18
0.6353057161147787,2016-02-19
0.7642104281687124,2016-02-20
0.7646540481780453,2016-02-21
0.637608575733078,2016-02-22
0.6137639600004833,2016-02-23
0.6069771532304306,2016-02-24
0.637832019533202,2016-02-25
0.6581985514046232,2016-02-26
0.6917557088204234,2016-02-27
0.7118326863014439,2016-02-28
0.6444088960139858,2016-02-29
0.6484425340048654,2016-03-01
0.6721876495716534,2016-03-02
0.6378524382452645,2016-03-03
0.6220534133425217,2016-03-04
0.7539266534304871,2016-03-05
0.7800937464211576,2016-03-06
0.6203328852878787,2016-03-07
0.6319713514266089,2016-03-08
0.4911273390357736,2016-03-09
0.5281423931412926,2016-03-10
0.6466655602091654,2016-03-11
0.729211829106576,2016-03-12
0.7070509093844766,2016-03-13
0.5730256006369363,2016-03-14
0.5802568659652353,2016-03-15
0.5597323859246996,2016-03-16
0.5958443870788802,2016-03-17
0.5822752022252795,2016-03-18
0.6335779780944742,2016-03-19
0.6146291273138836,2016-03-20
0.648035296804882,2016-03-21
0.7165522745844737,2016-03-22
0.7157928309286804,2016-03-23
0.6589019663170562,2016-03-24
0.684718020432933,2016-03-25
0.6915343909832034,2016-03-26
0.721187960041571,2016-03-27
0.6929980993082346,2016-03-28
0.7004193719411279,2016-03-29
0.669244301434647,2016-03-30
0.676350867048882,2016-03-31
0.7207095027670276,2016-04-01
0.706214336054908,2016-04-02
0.7020644253606965,2016-04-03
0.696965027544741,2016-04-04
0.717975656182575,2016-04-05
0.7313305341041032,2016-04-06
0.711052239405789,2016-04-07
0.6953420877553642,2016-04-08
0.7112073114569488,2016-04-09
0.7030649028436669,2016-04-10
0.6998544731864198,2016-04-11
0.7025855255302123,2016-04-12
0.7038752189865071,2016-04-13
0.7370759004937636,2016-04-14
0.7123100044869323,2016-04-15
0.6978164198446805,2016-04-16
0.7077720478368343,2016-04-17
0.6949310944951688,2016-04-18
0.7367373873602276,2016-04-19
0.7070227778584389,2016-04-20
0.7259088623125362,2016-04-21
0.6902406085836944,2016-04-22
0.7095308820109153,2016-04-23
0.7436488493794012,2016-04-24
0.7341292179793046,2016-04-25
0.6930744691047208,2016-04-26
0.6830885719384534,2016-04-27
0.7555280752469962,2016-04-28
0.7567678704155723,2016-04-29
0.7053685510849,2016-04-30
0.7489747192030732,2016-05-01
0.7170872592339894,2016-05-02
0.7289246989560678,2016-05-03
0.7788315445585205,2016-05-04
0.7347652124733985,2016-05-05
0.7239263906117186,2016-05-06
0.7775301748855735,2016-05-07
0.7533390800416769,2016-05-08
0.7560986161821769,2016-05-09
0.7632532071952173,2016-05-10
0.7791188411826856,2016-05-11
0.7215045765111904,2016-05-12
0.7234843066553359,2016-05-13
0.7493943199282489,2016-05-14
0.763401847737594,2016-05-15
0.7388265893620103,2016-05-16
0.734813206923025,2016-05-17
0.7108956015286978,2016-05-18
0.7087789456612554,2016-05-19
0.7145732692412871,2016-05-20
0.7475008199163233,2016-05-21
0.7628763858022043,2016-05-22
0.7493436510239949,2016-05-23
0.7134777154472377,2016-05-24
0.7370753581228706,2016-05-25
0.6787883739433002,2016-05-26
0.7301833584107872,2016-05-27
0.711176453906779,2016-05-28
0.7436833328184912,2016-05-29
0.7440715823815978,2016-05-30
0.69968060417529,2016-05-31
0.7101280582299512,2016-06-01
0.730807300686909,2016-06-02
0.6816033056179162,2016-06-03
0.7075459698763251,2016-06-04
0.7303150584405171,2016-06-05
0.6792635184502749,2016-06-06
0.7403959357667351,2016-06-07
0.7015736038780113,2016-06-08
0.7312292155063411,2016-06-09
0.7251823054785366,2016-06-10
0.717297712792977,2016-06-11
0.7056747413550568,2016-06-12
0.6955939177363204,2016-06-13
0.7283784667517054,2016-06-14
0.7277491039812279,2016-06-15
0.7357953075356087,2016-06-16
0.7244524835032684,2016-06-17
0.7099498767238115,2016-06-18
0.7500278154538113,2016-06-19
0.7176964373625113,2016-06-20
0.7359900929896485,2016-06-21
0.7241062702952601,2016-06-22
0.7089780757980875,2016-06-23
0.7148897843098697,2016-06-24
0.7133064940218043,2016-06-25
0.7314168598234407,2016-06-26
0.7378669950365138,2016-06-27
0.7095550325286107,2016-06-28
0.6965541359700259,2016-06-29
0.692404889941349,2016-06-30
0.7328718967326291,2016-07-01
0.7321960697663528,2016-07-02
0.7346931373951386,2016-07-03
0.7717648520430566,2016-07-04
0.7129527527102847,2016-07-05
0.7352879961482093,2016-07-06
0.7519183171758904,2016-07-07
0.7316377634723817,2016-07-08
0.7443838128028527,2016-07-09
0.7763311782222956,2016-07-10
0.7046059263175762,2016-07-11
0.6992132056074566,2016-07-12
0.6925326012752203,2016-07-13
0.686859741991132,2016-07-14
0.6933891870719371,2016-07-15
0.7342838945905484,2016-07-16
0.7517460594992956,2016-07-17
0.7120369615372028,2016-07-18
0.7336219887649773,2016-07-19
0.7667557982010716,2016-07-20
0.7555628567971632,2016-07-21
0.6841374346654797,2016-07-22
0.715189312496475,2016-07-23
0.7288457498017143,2016-07-24
0.714300705409902,2016-07-25
0.6941972266849438,2016-07-26
0.68396805663092,2016-07-27
0.6806705763901166,2016-07-28
0.7279386557351013,2016-07-29
0.6031481214453305,2016-07-30
0.6404721310205043,2016-07-31
0.7008489753763706,2016-08-01
0.7338698205965435,2016-08-02
0.7241734442710492,2016-08-03
0.7212547280964045,2016-08-04
0.7047561293375295,2016-08-05
0.7435090463616649,2016-08-06
0.7394431250265933,2016-08-07
0.7224188656404172,2016-08-08
0.7114388112960611,2016-08-09
0.6788426577002348,2016-08-10
0.684274691909766,2016-08-11
0.6952484086555124,2016-08-12
0.750528346666726,2016-08-13
0.73283752286504,2016-08-14
0.721100163265466,2016-08-15
0.705252873436347,2016-08-16
0.709701423296923,2016-08-17
0.6792345284540572,2016-08-18
0.6911511884727001,2016-08-19
0.7145769554516503,2016-08-20
0.7104470161381985,2016-08-21
0.7233452824607429,2016-08-22
0.7470069123084916,2016-08-23
0.7628601261108685,2016-08-24
0.7034953064484334,2016-08-25
0.7148898322464051,2016-08-26
0.730857929340782,2016-08-27
0.7475865213620912,2016-08-28
0.7177633696152963,2016-08-29
0.7723694724372393,2016-08-30
0.7577435265632974,2016-08-31
0.7512265047019852,2016-09-01
0.7260111873377404,2016-09-02
0.7685081214545523,2016-09-03
0.7279932152828223,2016-09-04
0.7677227769023159,2016-09-05
0.7543702165168583,2016-09-06
0.7486995691215694,2016-09-07
0.7407173782478147,2016-09-08
0.7653562990401309,2016-09-09
0.755935256511478,2016-09-10
0.7573434511575492,2016-09-11
0.70773610443153,2016-09-12
0.7636602475721844,2016-09-13
0.7193838329329331,2016-09-14
0.7603156141700511,2016-09-15
0.7719823040141449,2016-09-17
0.7492441769680979,2016-09-18
0.7182905740063682,2016-09-19
0.7661833871849162,2016-09-20
0.7761531416587121,2016-09-21
0.717584924873387,2016-09-22
0.7235958345901512,2016-09-23
0.723753013204908,2016-09-24
0.7417687013681051,2016-09-25
0.734343896130672,2016-09-26
0.7201034318489673,2016-09-27
0.7264035528851792,2016-09-28
0.7025676953053634,2016-09-29
0.7076162794768143,2016-09-30
0.7395037191553303,2016-10-01
0.7452142914375932,2016-10-02
0.7433360755337594,2016-10-03
0.7578254445562992,2016-10-04
0.7578371984339309,2016-10-05
0.7084938033252636,2016-10-06
0.7093913206456073,2016-10-07
0.7594738398427396,2016-10-08
0.7573414543656042,2016-10-09
0.7317181053796898,2016-10-10
0.7343077062401315,2016-10-11
0.7173361895288433,2016-10-12
0.7181573905296363,2016-10-13
0.745195583695643,2016-10-14
0.739123888246226,2016-10-15
0.7263766824239586,2016-10-16
0.7128531724936253,2016-10-17
0.694560397127843,2016-10-18
0.7417457991151539,2016-10-19
0.7474137904285703,2016-10-20
0.7327564731404577,2016-10-21
0.759753106196585,2016-10-22
0.7305148077573941,2016-10-23
0.6893835998100092,2016-10-24
0.6957726518954483,2016-10-25
0.7145159885511647,2016-10-26
0.7049055828350381,2016-10-27
0.6962222036053632,2016-10-28
0.7460736409581005,2016-10-29
0.7264996765080963,2016-10-30
0.70977792266136,2016-10-31
0.7059688271522516,2016-11-01
0.7622744050872957,2016-11-02
0.7525581223573411,2016-11-03
0.7133680272100769,2016-11-04
0.7511626043761717,2016-11-05
0.7273617623889657,2016-11-06
0.7058216521073359,2016-11-07
0.7434521066577783,2016-11-08
0.7071679024436957,2016-11-09
0.7065213219761638,2016-11-10
0.6884811970508324,2016-11-11
0.7609241726230008,2016-11-12
0.7262597207921108,2016-11-13
0.6918959497488906,2016-11-14
0.6736868059291388,2016-11-15
0.7310405319697405,2016-11-16
0.683322029740278,2016-11-17
0.7259493367662947,2016-11-18
0.7128048801410121,2016-11-19
0.6970309330229765,2016-11-20
0.6883520434917362,2016-11-21
0.7087971290047911,2016-11-22
0.7530956474522921,2016-11-23
0.7474963753526326,2016-11-24
0.7069259778365018,2016-11-25
0.7500476616264176,2016-11-26
0.7200108570299136,2016-11-27
0.7158310481438835,2016-11-28
0.7008953174415614,2016-11-29
0.7041422734890803,2016-11-30
0.724566471519035,2016-12-01
0.731938082029006,2016-12-02
0.7742600889795845,2016-12-03
0.7472734012911195,2016-12-04
0.7019104784466824,2016-12-05
0.6940016359597164,2016-12-06
0.7238550542954467,2016-12-07
0.6918148177394022,2016-12-08
0.7230101713558177,2016-12-09
0.7494892009170994,2016-12-10
0.7437432502229021,2016-12-11
0.7024405489810039,2016-12-12
0.7579445384145109,2016-12-13
0.7766127370507301,2016-12-14
0.6751918737698527,2016-12-15
0.7301989784850691,2016-12-16
0.7143886689695702,2016-12-17
0.7308253532553942,2016-12-18
0.7188744611877739,2016-12-19
0.7160811583944271,2016-12-20
