y,ds
0.687822260705772,2016-01-01
0.7394379381742742,2016-01-02
0.7405014492023445,2016-01-03
0.7410702438001588,2016-01-04
0.7199373168971018,2016-01-05
0.7322107598468476,2016-01-06
0.735870141258537,2016-01-07
0.7652362022309023,2016-01-08
0.7650993514868899,2016-01-09
0.711810207126462,2016-01-10
0.7273332807334096,2016-01-11
0.7438820013241177,2016-01-12
0.7336714723950454,2016-01-13
0.7100216934191618,2016-01-14
0.7713471262945965,2016-01-15
0.7911136962481914,2016-01-16
0.7744683195075875,2016-01-17
0.7495300061352241,2016-01-18
0.6983628219568344,2016-01-19
0.6801733405673962,2016-01-20
0.7572651372870627,2016-01-21
0.6902895307290314,2016-01-22
0.7298459442433051,2016-01-23
0.7183288481768033,2016-01-24
0.6763219525405785,2016-01-25
0.6922380590302225,2016-01-26
0.7692970249183576,2016-01-27
0.7668081692848041,2016-01-28
0.7206595633889519,2016-01-29
0.7539259519179287,2016-01-30
0.7646366931841669,2016-01-31
0.7456746376104769,2016-02-01
0.7157110125137471,2016-02-02
0.6925944037695754,2016-02-03
0.6981528809513547,2016-02-05
0.7077270427157945,2016-02-06
0.7173489156113063,2016-02-07
0.7194583961020273,2016-02-08
0.6908602710984306,2016-02-09
0.6558929209898005,2016-02-10
0.680624956938953,2016-02-11
0.7019921084335675,2016-02-12
0.6946040335846497,2016-02-13
0.6430124084304003,2016-02-14
0.753708895203617,2016-02-15
0.6977476308648392,2016-02-16
0.6517433178201114,2016-02-17
0.7332390997991824,2016-02-18
0.734227739734147,2016-02-19
0.7205226545333326,2016-02-20
0.7153088013935941,2016-02-21
0.7536587515445585,2016-02-22
0.6724400128994242,2016-02-23
0.6897754550142686,2016-02-24
0.7239911958465746,2016-02-25
0.7449609233632136,2016-02-26
0.7579593062788329,2016-02-27
0.725989320219323,2016-02-28
0.7839023971137442,2016-02-29
0.7801900523241347,2016-03-01
0.7739500918668971,2016-03-02
0.7406175275895485,2016-03-03
0.684558988790898,2016-03-04
0.7444145233198349,2016-03-05
0.7723028695919305,2016-03-06
0.7138658080174177,2016-03-07
0.7406769305429751,2016-03-08
0.5984894841094179,2016-03-09
0.6601233967024038,2016-03-10
0.7074474652301591,2016-03-11
0.6946237781821858,2016-03-12
0.7578879518564373,2016-03-13
0.7030108243198468,2016-03-14
0.6684831568483285,2016-03-15
0.6179617606812289,2016-03-16
0.616791326287571,2016-03-17
0.6359382816214084,2016-03-18
0.6752467458611351,2016-03-19
0.7441364860817297,2016-03-20
0.7448404715908047,2016-03-21
0.7985599516817842,2016-03-22
0.752527000553589,2016-03-23
0.7819328824484577,2016-03-24
0.6939848703818271,2016-03-25
0.80198368428156,2016-03-26
0.7693138785941078,2016-03-27
0.7471075342731964,2016-03-28
0.7352219222269829,2016-03-29
0.7369991601084639,2016-03-30
0.7525082137866239,2016-03-31
0.7753917519472009,2016-04-01
0.7912415682361945,2016-04-02
0.7469196662350219,2016-04-03
0.7840930635041914,2016-04-04
0.7861570442654078,2016-04-05
0.766908709344464,2016-04-06
0.7566688662223094,2016-04-07
0.7612307147022358,2016-04-08
0.8334490289961207,2016-04-09
0.8028283988415158,2016-04-10
0.7806763110460057,2016-04-11
0.7856965543845695,2016-04-12
0.735080788752089,2016-04-13
0.7913587719792202,2016-04-14
0.7558157787412518,2016-04-15
0.7999946417539104,2016-04-16
0.7601994817789243,2016-04-17
0.7519450942093696,2016-04-18
0.7959467349209137,2016-04-19
0.7713746189874295,2016-04-20
0.7849798887427243,2016-04-21
0.7866175629760835,2016-04-22
0.801822357082881,2016-04-23
0.7987878597640103,2016-04-24
0.775934522815657,2016-04-25
0.779108165168449,2016-04-26
0.7481923272150725,2016-04-27
0.8059264615730256,2016-04-28
0.8123145270484586,2016-04-29
0.7602925437436236,2016-04-30
0.7742920310259302,2016-05-01
0.7753771460097809,2016-05-02
0.798930098720865,2016-05-03
0.838604554507884,2016-05-04
0.7733547623578213,2016-05-05
0.7911275737274972,2016-05-06
0.8394411626213075,2016-05-07
0.7849092640028693,2016-05-08
0.7692292553878933,2016-05-09
0.8145927605537223,2016-05-10
0.8078086599388554,2016-05-11
0.7229114273019558,2016-05-12
0.705190077498508,2016-05-13
0.7806427220718598,2016-05-14
0.811989992766723,2016-05-15
0.8055786539054656,2016-05-16
0.7784540017924493,2016-05-17
0.7716468064230593,2016-05-18
0.7662010838785207,2016-05-19
0.7769032084468005,2016-05-20
0.7687691675171936,2016-05-21
0.7540737493605192,2016-05-22
0.7784881267458547,2016-05-23
0.7865799947805566,2016-05-24
0.7930522595831323,2016-05-25
0.7260748690001558,2016-05-26
0.7771342178176335,2016-05-27
0.7723735328292294,2016-05-28
0.7745936594306002,2016-05-29
0.7745448451965329,2016-05-30
0.7754912048674749,2016-05-31
0.7318799623442627,2016-06-01
0.7909658085876023,2016-06-02
0.7423047041499996,2016-06-03
0.7559769215007468,2016-06-04
0.7291917766342753,2016-06-05
0.7584177938201293,2016-06-06
0.7942249900157597,2016-06-07
0.7704272086031109,2016-06-08
0.7808673830690219,2016-06-09
0.8304525355952969,2016-06-10
0.7871856143135183,2016-06-11
0.7607575128213454,2016-06-12
0.7880437952913705,2016-06-13
0.7618988766788121,2016-06-14
0.8077829398670494,2016-06-15
0.7731681755222107,2016-06-16
0.7983334131347752,2016-06-17
0.7466313864780807,2016-06-18
0.7553602000448207,2016-06-19
0.7071982689053373,2016-06-20
0.7191951650322742,2016-06-21
0.7181070503407444,2016-06-22
0.731760003969978,2016-06-23
0.751674949930993,2016-06-24
0.8023911769165553,2016-06-25
0.7438905107088086,2016-06-26
0.7694318602349041,2016-06-27
0.7589655795601302,2016-06-28
0.7577989161594918,2016-06-29
0.7092348734363099,2016-06-30
0.7686076370287332,2016-07-01
0.8090984644130117,2016-07-02
0.7509236534415282,2016-07-03
0.8316305760229298,2016-07-04
0.7580614108683086,2016-07-05
0.7697998018083582,2016-07-06
0.813029125119191,2016-07-07
0.7607455572665256,2016-07-08
