gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",6.000000000,9.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",19.000000000,23.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",23.000000000,27.000000000,.000000000
701,CT1,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",259.000000000,427.000000000,
701,CT1,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",152.000000000,282.000000000,
747,CT2,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",92.000000000,204.000000000,
747,CT2,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",125.000000000,313.000000000,
708,CT3,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",140.000000000,226.000000000,
708,CT3,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",110.000000000,187.000000000,
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",939.000000000,1347.000000000,
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",307.000000000,486.000000000,
4,4,,"Limited Service","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",104.000000000,158.000000000,
4,4,,"Limited Service","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",30.000000000,37.000000000,
5,5,,"Limited Service","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",31.000000000,42.000000000,
5,5,,"Limited Service","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",1.000000000,1.000000000,
7,7,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",309.000000000,413.000000000,
7,7,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",314.000000000,417.000000000,
8,8,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",368.000000000,591.000000000,
8,8,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",110.000000000,271.000000000,
9,9,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",409.000000000,610.000000000,
9,9,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",329.000000000,430.000000000,
10,10,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",108.000000000,191.000000000,
