gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",337.000000000,366.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",1111.000000000,1203.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",400.000000000,450.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",663.000000000,774.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",1062.000000000,1280.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",420.000000000,493.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",1254.000000000,1532.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",561.000000000,725.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",31.000000000,31.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",12.000000000,12.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,22.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",16.000000000,17.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",28.000000000,31.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,23.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",12.000000000,14.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",30.000000000,34.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",11.000000000,15.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",6.000000000,9.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",14.000000000,15.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,37.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",8.000000000,8.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,22.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",9.000000000,10.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",5.000000000,8.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",9.000000000,13.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",19.000000000,23.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,18.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",22.000000000,23.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",26.000000000,27.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",7.000000000,9.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2015-12-01,PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
701,CT1,,"Local Bus","Other Bus",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",324.000000000,426.000000000,
701,CT1,,"Local Bus","Other Bus",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",253.000000000,282.000000000,
747,CT2,,"Local Bus","Other Bus",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",119.000000000,293.000000000,
747,CT2,,"Local Bus","Other Bus",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",158.000000000,424.000000000,
708,CT3,,"Local Bus","Other Bus",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",129.000000000,178.000000000,
708,CT3,,"Local Bus","Other Bus",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",106.000000000,177.000000000,
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",888.000000000,1246.000000000,
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",357.000000000,466.000000000,
4,4,,"Limited Service","Other Bus",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",74.000000000,156.000000000,
4,4,,"Limited Service","Other Bus",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,37.000000000,
5,5,,"Limited Service","Other Bus",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",39.000000000,49.000000000,
5,5,,"Limited Service","Other Bus",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",1.000000000,1.000000000,
7,7,,"Local Bus","Other Bus",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",246.000000000,335.000000000,
7,7,,"Local Bus","Other Bus",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",358.000000000,414.000000000,
8,8,,"Local Bus","Other Bus",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",313.000000000,563.000000000,
8,8,,"Local Bus","Other Bus",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",116.000000000,277.000000000,
9,9,,"Local Bus","Other Bus",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",470.000000000,622.000000000,
9,9,,"Local Bus","Other Bus",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",265.000000000,392.000000000,
10,10,,"Local Bus","Other Bus",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",133.000000000,188.000000000,
10,10,,"Local Bus","Other Bus",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",258.000000000,405.000000000,
11,11,,"Local Bus","Other Bus",Bus,2015-12-01,PEAK,"Headway / Schedule Adherence",225.000000000,307.000000000,
11,11,,"Local Bus","Other Bus",Bus,2015-12-01,OFF_PEAK,"Headway / Schedule Adherence",359.000000000,448.000000000,
