gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
8,8,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",190.000000000,419.000000000,
9,9,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",432.000000000,591.000000000,
10,10,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",308.000000000,500.000000000,
11,11,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",460.000000000,639.000000000,
14,14,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",224.000000000,376.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",596.000000000,934.000000000,
16,16,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",277.000000000,442.000000000,
17,17,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",203.000000000,376.000000000,
18,18,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",41.000000000,74.000000000,
21,21,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",191.000000000,280.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",820.000000000,1366.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",985.000000000,1630.000000000,
24,24,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",295.000000000,420.000000000,
26,26,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",158.000000000,258.000000000,
277,277,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",1.000000000,2.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",1146.000000000,1971.000000000,
29,29,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",61.000000000,188.000000000,
30,30,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",97.000000000,228.000000000,
31,31,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",438.000000000,680.000000000,
32,32,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",803.000000000,1062.000000000,
33,33,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",89.000000000,126.000000000,
34,34,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",317.000000000,520.000000000,
34E,34E,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",429.000000000,769.000000000,
35,35,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",195.000000000,321.000000000,
36,36,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",352.000000000,463.000000000,
37,37,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",154.000000000,224.000000000,
38,38,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",185.000000000,248.000000000,
39,39,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",1349.000000000,1841.000000000,
40,40,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",121.000000000,182.000000000,
41,41,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",177.000000000,285.000000000,
42,42,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",309.000000000,407.000000000,
43,43,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",239.000000000,466.000000000,
44,44,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",406.000000000,703.000000000,
45,45,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",387.000000000,642.000000000,
47,47,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",340.000000000,573.000000000,
50,50,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",64.000000000,109.000000000,
51,51,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",154.000000000,209.000000000,
55,55,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",140.000000000,188.000000000,
57,57,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",1268.000000000,1652.000000000,
59,59,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",108.000000000,126.000000000,
60,60,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",406.000000000,510.000000000,
627,62/76,,"Limited Service","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",148.000000000,248.000000000,
64,64,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",142.000000000,201.000000000,
65,65,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",85.000000000,140.000000000,
66,66,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",829.000000000,1280.000000000,
69,69,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",276.000000000,384.000000000,
70,70,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",447.000000000,727.000000000,
70A,70A,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",132.000000000,258.000000000,
71,71,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",693.000000000,1066.000000000,
72,72,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",244.000000000,288.000000000,
725,72/75,,"Limited Service","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",106.000000000,120.000000000,
73,73,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",777.000000000,995.000000000,
74,74,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",140.000000000,179.000000000,
75,75,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",106.000000000,140.000000000,
77,77,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",1365.000000000,1740.000000000,
78,78,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",211.000000000,290.000000000,
80,80,,"Local Bus","Other Bus",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",274.000000000,394.000000000,
