gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,14.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2017-01-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",709.000000000,1161.000000000,
8,8,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",334.000000000,487.000000000,
9,9,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",339.000000000,449.000000000,
10,10,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",206.000000000,315.000000000,
11,11,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",284.000000000,394.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",620.000000000,770.000000000,
16,16,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",243.000000000,331.000000000,
17,17,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",98.000000000,140.000000000,
21,21,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",126.000000000,141.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",699.000000000,821.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",841.000000000,1072.000000000,
24,24,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",166.000000000,192.000000000,
26,26,,"Local Bus","Other Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",66.000000000,82.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",1031.000000000,1346.000000000,
