y,ds
0.9558078701283789,2016-01-01
0.9646398795650848,2016-01-02
0.9677101619761586,2016-01-03
0.9090334960168501,2016-01-04
0.9241093434513884,2016-01-05
0.9126848699821328,2016-01-06
0.9467123405907876,2016-01-07
0.9356824362047127,2016-01-08
0.948814385974079,2016-01-09
0.9613550058434374,2016-01-10
0.9180659698793782,2016-01-11
0.9232234027018391,2016-01-12
0.9112611882347272,2016-01-13
0.9383742778465349,2016-01-14
0.940765145886524,2016-01-15
0.9566518259973201,2016-01-16
0.9607379406362935,2016-01-17
0.9093908732694628,2016-01-18
0.9280749991304887,2016-01-19
0.9183243640086969,2016-01-20
0.9223631312622279,2016-01-21
0.8964266567387834,2016-01-22
0.9342320921647782,2016-01-23
0.9517898901140082,2016-01-24
0.9330660283550928,2016-01-25
0.9392689706208686,2016-01-26
0.9522783714542219,2016-01-27
0.9448807595837628,2016-01-28
0.9251789080096267,2016-01-29
0.9455830955868094,2016-01-30
0.9528862176085039,2016-01-31
0.9402168603812774,2016-02-01
0.9009090914095037,2016-02-02
0.9188055118398063,2016-02-03
0.8804539287780659,2016-02-05
0.9543441229926158,2016-02-06
0.9627085078547728,2016-02-07
0.9283165109808733,2016-02-08
0.9206905413393033,2016-02-09
0.8863281110668592,2016-02-10
0.9377407392333951,2016-02-11
0.9358546924440717,2016-02-12
0.9264477059784678,2016-02-13
0.8777925156938363,2016-02-14
0.9286925443596227,2016-02-15
0.898499320735409,2016-02-16
0.9425846920209825,2016-02-17
0.9292521638963886,2016-02-18
0.9341997400052983,2016-02-19
0.9075102895273058,2016-02-20
0.9411506896580243,2016-02-21
0.9408522705870875,2016-02-22
0.9047857077965398,2016-02-23
0.9273834779612631,2016-02-24
0.9491427304710626,2016-02-25
0.9563801943337704,2016-02-26
0.9656847139697289,2016-02-27
0.9627991803358373,2016-02-28
0.92401792409711,2016-02-29
0.8933216609093586,2016-03-01
0.9264172454271433,2016-03-02
0.915946467737084,2016-03-03
0.9226591419439059,2016-03-04
0.9405021562018735,2016-03-05
0.9435999246729262,2016-03-06
0.9174791383856605,2016-03-07
0.9288706862067863,2016-03-08
0.8920726588768388,2016-03-09
0.8625065082614092,2016-03-10
0.9471422103352883,2016-03-11
0.9550453797784484,2016-03-12
0.9645984941837945,2016-03-13
0.8897971651944264,2016-03-14
0.8712170985809219,2016-03-15
0.825532268495164,2016-03-16
0.8577975440131083,2016-03-17
0.7961287990915203,2016-03-18
0.8825368503431879,2016-03-19
0.8631712084212926,2016-03-20
0.9286927754424569,2016-03-21
0.9095211396174943,2016-03-22
0.9267375876216499,2016-03-23
0.9309503101501578,2016-03-24
0.923004730713469,2016-03-25
0.9225088381286239,2016-03-26
0.9720612324954307,2016-03-27
0.9327047623769752,2016-03-28
0.9308660907238778,2016-03-29
0.925107808398803,2016-03-30
0.9020698308168844,2016-03-31
0.9241408628708452,2016-04-01
0.9545361838121914,2016-04-02
0.9675941388768778,2016-04-03
0.9270944625574564,2016-04-04
0.945645507070319,2016-04-05
0.9429914847987576,2016-04-06
0.8831225062238772,2016-04-07
0.931635652909674,2016-04-08
0.9678674335383299,2016-04-09
0.9542845673718588,2016-04-10
0.9462944966189647,2016-04-11
0.9256360003427399,2016-04-12
0.9444568734433603,2016-04-13
0.936660680349425,2016-04-14
0.9127932758854879,2016-04-15
0.9640820317934155,2016-04-16
0.9594280090719259,2016-04-17
0.9409322545322846,2016-04-18
0.9529777563286014,2016-04-19
0.9446388051337422,2016-04-20
0.940982373806716,2016-04-21
0.9539233958243277,2016-04-22
0.9589122035276074,2016-04-23
0.9564472729442499,2016-04-24
0.9424644797258749,2016-04-25
0.9237363883638676,2016-04-26
0.925057210203982,2016-04-27
0.9208645141271266,2016-04-28
0.8972836756010768,2016-04-29
0.6910994231421068,2016-04-30
0.7927349024130178,2016-05-01
0.9437295146801792,2016-05-02
0.9114961785172095,2016-05-03
0.9443041760115983,2016-05-04
0.9319243622038231,2016-05-05
0.931459536061712,2016-05-06
0.7072294098015154,2016-05-07
0.7808600120288263,2016-05-08
0.9459620704241019,2016-05-09
0.9479416010423142,2016-05-10
0.9573422862701539,2016-05-11
0.9252018320246659,2016-05-12
0.9328131977317587,2016-05-13
0.7055691611027034,2016-05-14
0.7949428247041548,2016-05-15
0.9235165083685158,2016-05-16
0.9095626175982393,2016-05-17
0.9155884516124525,2016-05-18
0.9359985029810729,2016-05-19
0.9433967028700435,2016-05-20
0.8278380422060486,2016-05-21
0.7852152044851427,2016-05-22
0.9536363852986275,2016-05-23
0.9138135347260653,2016-05-24
0.9168238115772412,2016-05-25
0.9446640521179713,2016-05-26
0.9585681656092273,2016-05-27
0.9683786893782341,2016-05-28
0.9605495263001989,2016-05-29
0.9813184765611606,2016-05-30
0.8860362911132643,2016-05-31
0.9484625241241632,2016-06-01
0.9338238789993795,2016-06-02
0.9270414194322081,2016-06-03
0.730272578592994,2016-06-04
0.7946570700850072,2016-06-05
0.9454720484092525,2016-06-06
0.9518919703515233,2016-06-07
0.9370024955433555,2016-06-08
0.9202710924138563,2016-06-09
0.9475919958825251,2016-06-10
0.7344230843687395,2016-06-11
0.7941453180180262,2016-06-12
0.9507840163685111,2016-06-13
0.943765472468667,2016-06-14
0.9475044228618216,2016-06-15
0.9532551879399725,2016-06-16
0.9236080273741472,2016-06-17
0.9023284994345171,2016-06-18
0.7938309964476219,2016-06-19
0.9555232661877809,2016-06-20
0.9357182733635803,2016-06-21
0.9524383768044684,2016-06-22
0.9501035346861108,2016-06-23
0.9323493999775442,2016-06-24
0.7194349089016251,2016-06-25
0.7988418903134614,2016-06-26
0.9340541986765998,2016-06-27
0.9170478888592238,2016-06-28
0.9421882603557299,2016-06-29
0.9365566521042565,2016-06-30
0.9561317994644426,2016-07-01
0.9787418820525275,2016-07-02
0.971423133236011,2016-07-03
0.9802373649795333,2016-07-04
0.9370696720246178,2016-07-05
0.9302724617502618,2016-07-06
0.9511222556233181,2016-07-07
0.9451138892970306,2016-07-08
0.9428809732884597,2016-07-09
0.9745946879320216,2016-07-10
0.915766313343526,2016-07-11
0.9273821220540167,2016-07-12
0.9356235459539485,2016-07-13
0.9296273099229223,2016-07-14
0.9251534731676748,2016-07-15
0.9595668023397765,2016-07-16
0.974748348664765,2016-07-17
0.923939876785743,2016-07-18
0.9270846298151486,2016-07-19
0.9636547096100054,2016-07-20
0.9267269635966822,2016-07-21
0.9356469439163762,2016-07-22
0.9536965259515583,2016-07-23
0.9572868069604287,2016-07-24
0.9177036924807612,2016-07-25
0.9325153391066968,2016-07-26
0.9451828533401225,2016-07-27
0.9036301422502298,2016-07-28
0.9444948684468383,2016-07-29
0.9590698091131259,2016-07-30
0.95856722756152,2016-07-31
0.9193796316777542,2016-08-01
0.9333829786116001,2016-08-02
0.9334817704128954,2016-08-03
0.9230865673770284,2016-08-04
0.9266928800880552,2016-08-05
0.947581881613421,2016-08-06
0.9632333612397945,2016-08-07
0.9435261531847609,2016-08-08
0.9403163255592518,2016-08-09
0.9303155710230557,2016-08-10
0.9192995887830157,2016-08-11
0.9094914394750099,2016-08-12
0.9018326207927861,2016-08-13
0.8020820743991337,2016-08-14
0.9429442465517213,2016-08-15
0.9174833187583837,2016-08-16
0.9338025966435629,2016-08-17
0.9076724983537818,2016-08-18
0.9003665983048292,2016-08-19
0.8543508766534424,2016-08-20
0.9158759298212773,2016-08-21
0.937242995393724,2016-08-22
0.9186913788416075,2016-08-23
0.95242529279993,2016-08-24
0.9379593811081595,2016-08-25
0.9432861642853603,2016-08-26
0.9586617131550316,2016-08-27
0.9415909026963036,2016-08-28
0.9457935387629288,2016-08-29
0.9194825267409827,2016-08-30
0.9504175514961958,2016-08-31
0.9518233406391648,2016-09-01
0.9206327642415209,2016-09-02
0.9733287370777932,2016-09-03
0.944682114581029,2016-09-04
0.9475688612257552,2016-09-05
0.9344295552323254,2016-09-06
0.9449136173910038,2016-09-07
0.9167211631115904,2016-09-08
0.9319101786775387,2016-09-09
0.9421587843451591,2016-09-10
0.9606683152310109,2016-09-11
0.9176339359774173,2016-09-12
0.9093479952033454,2016-09-13
0.8969698672539316,2016-09-14
0.9380683418278699,2016-09-15
0.8478926012975565,2016-09-17
0.8093876019490573,2016-09-18
0.9002313657247023,2016-09-19
0.9422745270311595,2016-09-20
0.8983742337966658,2016-09-21
0.9312937530384235,2016-09-22
0.9333366700963228,2016-09-23
0.9495143885262424,2016-09-24
0.9579921545172204,2016-09-25
0.9359134557495093,2016-09-26
0.91932895995805,2016-09-27
0.9080762590977512,2016-09-28
0.9138071948078214,2016-09-29
0.9176451561439793,2016-09-30
0.9632086751967813,2016-10-01
0.9491398985230207,2016-10-02
0.9314815969217013,2016-10-03
0.9265466038039525,2016-10-04
0.9525367340993369,2016-10-05
0.8829814558210234,2016-10-06
0.9153150731865721,2016-10-07
0.9465232636930377,2016-10-08
0.9605476345482026,2016-10-09
0.9464599255546271,2016-10-10
0.9148292842224084,2016-10-11
0.8832522773828624,2016-10-12
0.9213402601440713,2016-10-13
0.9288376872031477,2016-10-14
0.8995594773583568,2016-10-15
0.9604812368916537,2016-10-16
0.9376386267182341,2016-10-17
0.9022948546400634,2016-10-18
0.909142803313277,2016-10-19
0.9521436276391245,2016-10-20
0.9515452204526075,2016-10-21
0.9601800595255354,2016-10-22
0.9501269572183961,2016-10-23
0.9306429171031844,2016-10-24
0.9174024805174363,2016-10-25
0.9320599970222674,2016-10-26
0.9229831542447925,2016-10-27
0.895317631508614,2016-10-28
0.9698395895482431,2016-10-29
0.9674982656487884,2016-10-30
0.912311132430046,2016-10-31
0.9324136284746903,2016-11-01
0.9418493271665463,2016-11-02
0.9579759618821729,2016-11-03
0.9112205537007975,2016-11-04
0.9628102627303788,2016-11-05
0.9575153010028663,2016-11-06
0.9122579428790164,2016-11-07
0.9543721670003937,2016-11-08
0.9232567646972379,2016-11-09
0.9122629902362174,2016-11-10
0.9285636789663785,2016-11-11
0.9467796670349586,2016-11-12
0.9682559435036409,2016-11-13
0.9230837442282953,2016-11-14
0.9280782711776778,2016-11-15
0.951753397854252,2016-11-16
0.9113254459554841,2016-11-17
0.9347466900627114,2016-11-18
0.9599457184444184,2016-11-19
0.942837286586699,2016-11-20
0.9133686960164206,2016-11-21
0.9119464019279644,2016-11-22
0.9323548657144969,2016-11-23
0.984993124280561,2016-11-24
0.9417204343481932,2016-11-25
0.9398162409426442,2016-11-26
0.9594903102285096,2016-11-27
0.9267159953772648,2016-11-28
0.9154535906275448,2016-11-29
0.9273610047467817,2016-11-30
0.9307503238165694,2016-12-01
0.9434091450788529,2016-12-02
0.9343919352758423,2016-12-03
0.964029482833136,2016-12-04
0.9147440036896491,2016-12-05
0.9209332016809002,2016-12-06
0.9135162799731769,2016-12-07
0.9227119844667186,2016-12-08
0.9483601796772391,2016-12-09
0.9614841386361688,2016-12-10
0.958156161301339,2016-12-11
0.9298800130819839,2016-12-12
0.9366675451512245,2016-12-13
0.942233183402509,2016-12-14
0.870081487607617,2016-12-15
0.8943489021193504,2016-12-16
0.8764192648386805,2016-12-17
0.9159556209656262,2016-12-18
0.9053794786252065,2016-12-19
0.9402691141863782,2016-12-20
0.9204699157454912,2016-12-21
0.9177888111636743,2016-12-22
0.9502046286752684,2016-12-23
0.9500091781080694,2016-12-24
0.9194129107986336,2016-12-25
0.9518645228722082,2016-12-26
0.9503176440921136,2016-12-27
0.949021481478628,2016-12-28
0.9260471506076836,2016-12-29
0.9628975446209246,2016-12-30
0.9496084710717604,2016-12-31
0.9645666653305577,2017-01-01
0.9691314769396671,2017-01-02
0.9384926048898287,2017-01-03
0.9525922710634055,2017-01-04
0.9445756232406578,2017-01-05
0.9517283895211343,2017-01-06
0.9021978167901512,2017-01-07
0.933284500783477,2017-01-08
0.9097908912643631,2017-01-09
0.9484714191462648,2017-01-10
0.9524057279834367,2017-01-11
0.9539878631325961,2017-01-12
0.9407741505446625,2017-01-13
0.9605634018621485,2017-01-14
0.9725552758493275,2017-01-15
0.9680814547813454,2017-01-16
0.9602604600534181,2017-01-17
0.9399390788153525,2017-01-18
0.9593864115519207,2017-01-19
0.9578770366136522,2017-01-20
0.9545613629063555,2017-01-21
0.97689370561173,2017-01-22
0.9649519112679525,2017-01-23
0.9639270727409334,2017-01-24
0.9550779444496937,2017-01-25
0.9559268611938475,2017-01-26
0.9420676793065978,2017-01-27
0.7910633993738919,2017-01-28
0.8957607053196076,2017-01-29
0.8922051671757554,2017-01-30
0.9517607233874494,2017-01-31
0.9518423090812543,2017-02-01
0.9565211159387395,2017-02-02
0.9505815343871158,2017-02-03
0.9444687405922033,2017-02-04
0.9707471474042559,2017-02-05
0.958874634300439,2017-02-06
0.951775339693105,2017-02-07
0.9225392881785445,2017-02-08
0.928687098452635,2017-02-09
0.9157303175649123,2017-02-10
0.8983931229943635,2017-02-11
0.9502386483054446,2017-02-12
0.9542609290119399,2017-02-13
0.9513879585686932,2017-02-14
0.9369399724562107,2017-02-15
0.9421418828563279,2017-02-16
0.9676809448992267,2017-02-17
0.9631897264919378,2017-02-18
0.9680349567259721,2017-02-19
0.9760290890741751,2017-02-20
0.9627387539424603,2017-02-21
0.9615381801263096,2017-02-22
0.9485886247460109,2017-02-23
0.960637371013023,2017-02-24
0.9508948989398097,2017-02-25
0.9799800868856943,2017-02-26
0.9571460442141665,2017-02-27
0.9694823194668705,2017-02-28
0.9556936351217088,2017-03-01
0.9352462474507985,2017-03-02
0.9469092251717244,2017-03-03
0.9775116159882483,2017-03-04
0.9809027215863432,2017-03-05
0.9212489961402061,2017-03-06
0.9525602866459641,2017-03-07
0.9643028496576335,2017-03-08
0.9605326734786167,2017-03-09
0.9562690108418276,2017-03-10
0.897320407598755,2017-03-11
0.9783055706212013,2017-03-12
0.9501239744372194,2017-03-13
0.9238582508642884,2017-03-14
0.9438067124008714,2017-03-15
0.9625400447540285,2017-03-16
0.9416066814117239,2017-03-17
0.9656400352215527,2017-03-18
0.9645951159652176,2017-03-19
0.9459570491340601,2017-03-20
0.9636579818200197,2017-03-21
0.9709110648362514,2017-03-22
0.959226811653063,2017-03-23
0.957566115503038,2017-03-24
0.9628177181183615,2017-03-25
0.9845623405370765,2017-03-26
0.9484697558821871,2017-03-27
0.9555742305673552,2017-03-28
0.9442377643601594,2017-03-29
0.9465445507024796,2017-03-30
0.9388357047427714,2017-03-31
0.937345232650767,2017-04-01
0.9867238755396094,2017-04-02
0.9581114997480703,2017-04-03
0.9429977247161341,2017-04-04
0.9520612495584255,2017-04-05
0.9481006899494651,2017-04-06
0.9484703186724696,2017-04-07
0.9769222215601158,2017-04-08
0.9800062789247461,2017-04-09
0.9490801404799777,2017-04-10
0.9472927926493507,2017-04-11
0.936442315240749,2017-04-12
0.9392754664645085,2017-04-13
0.9496364063322988,2017-04-14
0.9503535392880222,2017-04-15
0.9779523956076622,2017-04-16
0.9498696379297424,2017-04-17
0.9513236141889446,2017-04-18
0.9642194803702048,2017-04-19
0.9477667488212765,2017-04-20
0.9521416781477264,2017-04-21
0.9666886736357163,2017-04-22
0.9818638456718907,2017-04-23
0.960600765118081,2017-04-24
0.9428763783984229,2017-04-25
