,ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2016-01-01,0.9162471177111852,1,0.848528137455486,0.9324681605320443,0.916247117711185,0.916247117711185,-0.02490727129064548,-0.02490727129064548,-0.02490727129064548,-0.0050884489553782095,-0.0050884489553782095,-0.0050884489553782095,-0.01981882233526727,-0.01981882233526727,-0.01981882233526727,0.0,0.0,0.0,0.8913398464205396
1,2016-01-04,0.9164731991797237,1,0.8545267440650881,0.9367750823127562,0.9164731991797237,0.9164731991797237,-0.021465507975795824,-0.021465507975795824,-0.021465507975795824,-0.0035627762235227686,-0.0035627762235227686,-0.0035627762235227686,-0.017902731752273058,-0.017902731752273058,-0.017902731752273058,0.0,0.0,0.0,0.8950076912039279
2,2016-01-05,0.9165485596692364,1,0.8534900769062181,0.9377271661988268,0.9165485596692364,0.9165485596692364,-0.0192191730424136,-0.0192191730424136,-0.0192191730424136,-0.002405704571764776,-0.002405704571764776,-0.002405704571764776,-0.01681346847064882,-0.01681346847064882,-0.01681346847064882,0.0,0.0,0.0,0.8973293866268228
3,2016-01-06,0.9166239201587493,1,0.8620336663345471,0.9425057704749544,0.9166239201587493,0.9166239201587493,-0.015432072467445561,-0.015432072467445561,-0.015432072467445561,9.012776293458321e-05,9.012776293458321e-05,9.012776293458321e-05,-0.015522200230380145,-0.015522200230380145,-0.015522200230380145,0.0,0.0,0.0,0.9011918476913037
4,2016-01-07,0.9166992806482621,1,0.8548275606343749,0.940705871049051,0.9166992806482621,0.9166992806482621,-0.01808858997680859,-0.01808858997680859,-0.01808858997680859,-0.004039054644220703,-0.004039054644220703,-0.004039054644220703,-0.014049535332587891,-0.014049535332587891,-0.014049535332587891,0.0,0.0,0.0,0.8986106906714535
5,2016-01-08,0.916774641137775,1,0.8604609673380956,0.9419366565716969,0.9167746411377751,0.9167746411377751,-0.017508329046124503,-0.017508329046124503,-0.017508329046124503,-0.0050884489553709574,-0.0050884489553709574,-0.0050884489553709574,-0.012419880090753545,-0.012419880090753545,-0.012419880090753545,0.0,0.0,0.0,0.8992663120916504
6,2016-01-11,0.9170007226063134,1,0.8659512639636494,0.9502824303603534,0.9170007226063133,0.9170007226063133,-0.010440096201917035,-0.010440096201917035,-0.010440096201917035,-0.0035627762235294434,-0.0035627762235294434,-0.0035627762235294434,-0.006877319978387591,-0.006877319978387591,-0.006877319978387591,0.0,0.0,0.0,0.9065606264043964
7,2016-01-12,0.9170760830958262,1,0.8689522449459375,0.9473749451188298,0.9170760830958262,0.9170760830958262,-0.007323651034007522,-0.007323651034007522,-0.007323651034007522,-0.0024057045717631176,-0.0024057045717631176,-0.0024057045717631176,-0.004917946462244403,-0.004917946462244403,-0.004917946462244403,0.0,0.0,0.0,0.9097524320618187
8,2016-01-13,0.9171514435853391,1,0.8726727233892112,0.9546671055541311,0.9171514435853391,0.9171514435853391,-0.0028678295640078323,-0.0028678295640078323,-0.0028678295640078323,9.012776293448746e-05,9.012776293448746e-05,9.012776293448746e-05,-0.0029579573269423198,-0.0029579573269423198,-0.0029579573269423198,0.0,0.0,0.0,0.9142836140213312
9,2016-01-14,0.9172268040748519,1,0.8693513953138382,0.9521675067102884,0.9172268040748519,0.9172268040748519,-0.005069337205420014,-0.005069337205420014,-0.005069337205420014,-0.004039054644214262,-0.004039054644214262,-0.004039054644214262,-0.0010302825612057516,-0.0010302825612057516,-0.0010302825612057516,0.0,0.0,0.0,0.9121574668694319
10,2016-01-15,0.9173021645643646,1,0.8727195008455527,0.953032776102131,0.9173021645643646,0.9173021645643646,-0.004255049040318057,-0.004255049040318057,-0.004255049040318057,-0.005088448955385163,-0.005088448955385163,-0.005088448955385163,0.0008333999150671059,0.0008333999150671059,0.0008333999150671059,0.0,0.0,0.0,0.9130471155240466
11,2016-01-18,0.9175282460329032,1,0.8768227572007956,0.9587314820470113,0.9175282460329032,0.9175282460329032,0.002194608583165239,0.002194608583165239,0.002194608583165239,-0.0035627762235361177,-0.0035627762235361177,-0.0035627762235361177,0.005757384806701357,0.005757384806701357,0.005757384806701357,0.0,0.0,0.0,0.9197228546160684
12,2016-01-19,0.917603606522416,1,0.8804142750090092,0.9638803037461766,0.917603606522416,0.917603606522416,0.004691850153559542,0.004691850153559542,0.004691850153559542,-0.0024057045717818673,-0.0024057045717818673,-0.0024057045717818673,0.007097554725341409,0.007097554725341409,0.007097554725341409,0.0,0.0,0.0,0.9222954566759756
13,2016-01-20,0.9176789670119289,1,0.8853973214447347,0.9719407462740236,0.9176789670119289,0.9176789670119289,0.008347420680436557,0.008347420680436557,0.008347420680436557,9.012776293478319e-05,9.012776293478319e-05,9.012776293478319e-05,0.008257292917501774,0.008257292917501774,0.008257292917501774,0.0,0.0,0.0,0.9260263876923654
14,2016-01-21,0.9177543275014417,1,0.8823043210097921,0.961574928397602,0.9177543275014417,0.9177543275014417,0.005186135319721742,0.005186135319721742,0.005186135319721742,-0.004039054644217816,-0.004039054644217816,-0.004039054644217816,0.009225189963939557,0.009225189963939557,0.009225189963939557,0.0,0.0,0.0,0.9229404628211635
